date,instance,obj_node_num,randomSeed,obj_iterTimes,obj_time,all_time
22/07/13 01:14:40,sc-pwtk,207702,35249,1908,735.735,1000.14
22/07/13 01:14:40,sc-pwtk,207692,39454,1110,440.4,1000.06
22/07/13 01:14:40,sc-pwtk,207697,7742,2479,958.163,1000.2
22/07/13 01:14:41,sc-pwtk,207715,36610,2178,867.185,1000.31
22/07/13 01:14:40,sc-pwtk,207707,16047,1755,686.262,1000.18
22/07/13 01:14:41,sc-pwtk,207702,24211,2548,989.542,1000.33
22/07/13 01:14:40,sc-pwtk,207690,19473,1992,747.687,1000.02
22/07/13 01:31:22,sc-shipsec1,117369,22525,8032,993.201,1000.01
22/07/13 01:31:22,sc-shipsec1,117266,3644,7483,897.436,1000.03
22/07/13 01:31:22,sc-shipsec1,117303,23156,8186,992.162,1000.01
22/07/13 01:31:22,sc-shipsec1,117284,1618,7845,987.229,1000.09
22/07/13 01:31:22,sc-shipsec1,117274,39410,8002,946.02,1000.01
22/07/13 01:31:22,sc-shipsec1,117284,1045,7992,958.581,1000.01
22/07/13 01:31:22,sc-shipsec1,117306,55410,7032,830.119,1000.09
22/07/13 01:31:22,sc-shipsec1,117365,7375,8388,998.329,1000.01
22/07/13 01:31:22,sc-shipsec1,117300,33173,6821,830.272,1000.07
22/07/13 01:31:22,sc-shipsec1,117283,10043,7378,918.538,1000.06
22/07/13 01:48:03,sc-shipsec5,147138,39891,4403,855.357,1000.01
22/07/13 01:48:03,sc-shipsec5,147171,6575,4218,819.155,1000.02
22/07/13 01:48:03,sc-shipsec5,147225,40820,3945,788.352,1000.11
22/07/13 01:48:03,sc-shipsec5,147148,27113,4812,938.044,1000.06
22/07/13 01:48:03,sc-shipsec5,147233,44086,4670,893.495,1000.14
22/07/13 01:48:03,sc-shipsec5,147146,62616,4984,979.532,1000.08
22/07/13 01:48:03,sc-shipsec5,147145,35810,5150,986.947,1000.12
22/07/13 01:48:03,sc-shipsec5,147186,61450,5251,995.792,1000.13
22/07/13 01:48:03,sc-shipsec5,147176,43197,3300,642.51,1000
22/07/13 01:48:03,sc-shipsec5,147209,58159,5011,984.076,1000.09
22/07/13 01:51:24,soc-FourSquare,90109,44858,20,9.95853,200.07
22/07/13 01:51:24,soc-FourSquare,90109,26252,24,9.77955,200.204
22/07/13 01:51:24,soc-FourSquare,90109,29251,37,12.5759,200.081
22/07/13 01:51:24,soc-FourSquare,90109,44108,19,9.06211,200.013
22/07/13 01:51:24,soc-FourSquare,90109,13200,27,12.5122,200.043
22/07/13 01:51:24,soc-FourSquare,90109,54201,19,9.63712,200.12
22/07/13 01:51:25,soc-FourSquare,90110,45685,17,7.73164,200.086
22/07/13 01:51:25,soc-FourSquare,90109,15767,17,8.67024,200.084
22/07/13 01:51:24,soc-FourSquare,90109,1418,27,12.4544,200.184
22/07/13 01:51:24,soc-FourSquare,90109,39861,20,11.6703,200.012
22/07/13 02:08:06,soc-LiveMocha,43428,21759,531,82.9999,1000.12
22/07/13 02:08:06,soc-LiveMocha,43428,1794,598,96.5704,1000.03
22/07/13 02:08:06,soc-LiveMocha,43427,49258,4763,671.275,1000.09
22/07/13 02:08:06,soc-LiveMocha,43427,54509,435,57.8633,1000.05
22/07/13 02:08:06,soc-LiveMocha,43428,64926,375,53.7641,1000.03
22/07/13 02:08:06,soc-LiveMocha,43427,6800,1826,277.707,1000.11
22/07/13 02:08:06,soc-LiveMocha,43428,52266,531,78.2918,1000.06
22/07/13 02:08:06,soc-LiveMocha,43427,39770,2444,376.381,1000.05
22/07/13 02:08:06,soc-LiveMocha,43427,9215,4036,613.455,1000.11
22/07/13 02:08:06,soc-LiveMocha,43427,29554,1809,249.154,1000.03
